data;vendas_previstas;forecast_horizon
2025-11-29;70882.20912350528;60
2025-11-30;8607.606732241906;60
2025-12-01;16855.47490794266;60
2025-12-02;24046.2647472829;60
2025-10-04;49860.64855735377;90
2025-10-05;8190.290068492111;90
2025-10-06;39536.677079774265;90
2025-10-07;60725.64080608254;90
2025-10-08;14277.288769267245;90
2025-10-09;36067.87566638605;90
2025-10-10;75523.0625337937;90
2025-10-11;152797.8058210506;90
2025-10-12;27501.00497654789;90
2025-10-13;59954.5318813234;90
2025-10-14;65601.71368089881;90
2025-10-15;12213.707229442232;90
2025-10-16;31473.24741146914;90
2025-10-17;107293.96203232664;90
2025-10-18;44508.10481240116;90
2025-10-19;14462.365638593874;90
2025-10-20;111155.3213624921;90
2025-10-21;46333.92478989366;90
2025-10-22;65019.62802423041;90
2025-10-23;64971.33992158676;90
2025-10-24;90036.77507288964;90
2025-10-25;49552.75308050533;90
2025-10-26;4641.114961211275;90
2025-10-27;87653.21497103288;90
2025-10-28;62924.353113022014;90
2025-10-29;36824.74099192786;90
2025-10-30;32932.652586696044;90
2025-10-31;31734.0103264247;90
2025-11-01;19660.70400904239;90
2025-11-02;6303.674363237624;90
2025-11-03;28028.53252115629;90
2025-11-04;18010.427448039583;90
2025-11-05;38489.55695965631;90
2025-11-06;53380.31120551353;90
2025-11-07;58042.7977366498;90
2025-11-08;138253.69386556745;90
2025-11-09;24601.69171708062;90
2025-11-10;127962.01759312495;90
2025-11-11;56077.81519599131;90
2025-11-12;31437.870970980737;90
2025-11-13;56682.12497804516;90
2025-11-14;37195.51949711868;90
2025-11-15;90301.63336949806;90
2025-11-16;13171.145218465805;90
2025-11-17;99318.7894195707;90
2025-11-18;132894.09753064247;90
2025-11-19;116554.94185831504;90
2025-11-20;48620.610515198656;90
2025-11-21;81172.50992783457;90
2025-11-22;74365.66305801831;90
2025-11-23;7297.069424208248;90
2025-11-24;115067.34659564184;90
2025-11-25;61112.70071595406;90
2025-11-26;58796.00463473612;90
2025-11-27;19090.82887848011;90
2025-11-28;86794.86589399754;90
2025-11-29;70882.20912350528;90
2025-11-30;8607.606732241906;90
2025-12-01;16855.47490794266;90
2025-12-02;24046.2647472829;90
2025-12-03;111328.50614006168;90
2025-12-04;46298.88248981309;90
2025-12-05;115575.46274070525;90
2025-12-06;90454.33117606664;90
2025-12-07;12026.3814723972;90
2025-12-08;55193.12561495783;90
2025-12-09;77318.2405219991;90
2025-12-10;174573.48593850707;90
2025-12-11;50531.15988180752;90
2025-12-12;82105.49842827627;90
2025-12-13;124850.83548943752;90
2025-12-14;13336.478526664254;90
2025-12-15;108382.2323236192;90
2025-12-16;339500.2204758918;90
2025-12-17;147368.5964527205;90
2025-12-18;59335.57563269896;90
2025-12-19;103204.08016005174;90
2025-12-20;78526.11894947613;90
2025-12-21;5778.689643900994;90
2025-12-22;50529.65703487054;90
2025-12-23;79894.32896235317;90
2025-12-24;27698.111506316327;90
2025-12-25;22817.21792267225;90
2025-12-26;76377.05796995082;90
2025-12-27;199804.1824442647;90
2025-12-28;10661.180065982122;90
2025-12-29;94848.73159635712;90
2025-12-30;87997.5013475771;90
2025-12-31;47217.43291735359;90
2026-01-01;67007.9712055439;90
